ID,colony,treatment,Carb_Total,KJ Factor kJ g−1,Carb_KJ,Lip_total,KJ Factor kJ g−1,Lip_KJ,Prot_Total,KJ Factor kJ g−1,Prot_KJ,Total_KJ
A-T1-3,A,MP + HF,0.03,17.5,0.6,1.1,39.5,44.51,0.3,23.9,7.8,52.9
B-T1-3,B,MP + HF,0.17,17.5,2.95,8.1,39.5,318.59,1,23.9,23.4,345
C-T1-3,C,MP + HF,0.06,17.5,1.02,2.8,39.5,110.1,0.1,23.9,1.4,112.5
D-T1-3,D,MP + HF,0.09,17.5,1.49,0.6,39.5,21.82,0,23.9,0.9,24.2
A-T6-3,A,MP + HF,0.09,17.5,1.63,3.8,39.5,150.18,1.2,23.9,28.5,180.4
B-T6-3,B,MP + HF,0.11,17.5,1.94,2.8,39.5,110.73,0.2,23.9,5,117.7
C-T6-3,C,MP + HF,0.13,17.5,2.22,5.8,39.5,229.79,0.7,23.9,15.9,247.9
D-T6-3,D,MP + HF,0.1,17.5,1.68,3,39.5,116.54,0.2,23.9,4,122.2
A-T11-3,A,MP + HF,0.03,17.5,0.56,1.8,39.5,70.43,0.1,23.9,3.5,74.5
B-T11-3,B,MP + HF,0.28,17.5,4.87,8.6,39.5,337.83,0.5,23.9,11.7,354.4
C-T11-3,C,MP + HF,0.07,17.5,1.23,2.4,39.5,93.82,0.2,23.9,5.5,100.5
D-T11-3,D,MP + HF,0.13,17.5,2.28,1.2,39.5,47.26,0.1,23.9,2.4,51.9
A-T4-3,A,MP,0.06,17.5,1.11,2.2,39.5,86.61,0.2,23.9,3.6,91.4
B-T4-3,B,MP,0.09,17.5,1.52,1.9,39.5,74.53,0.1,23.9,2,78.1
C-T4-3,C,MP,0.07,17.5,1.14,3.9,39.5,155.61,0.6,23.9,14.6,171.3
D-T4-3,D,MP,0.07,17.5,1.27,3,39.5,116.6,0.4,23.9,9.2,127.1
A-T9-3,A,MP,0.04,17.5,0.62,1.4,39.5,55.87,0.2,23.9,5.1,61.6
B-T9-3,B,MP,0.07,17.5,1.22,1.6,39.5,64.42,0.1,23.9,2.3,67.9
C-T9-3,C,MP,0.12,17.5,2.09,4.3,39.5,168.61,1.6,23.9,38.3,209
D-T9-3,D,MP,0.11,17.5,1.96,0.2,39.5,8.74,0,23.9,1,11.7
A-T14-3,A,MP,0.06,17.5,1.07,2.9,39.5,115.99,0.2,23.9,4.3,121.4
B-T14-3,B,MP,0.04,17.5,0.76,1.4,39.5,55.17,0.4,23.9,10.7,66.6
C-T14-3,C,MP,0.09,17.5,1.64,3.1,39.5,122.47,0.1,23.9,3.1,127.2
D-T14-3,D,MP,0.13,17.5,2.32,10.3,39.5,408.31,0.1,23.9,3.2,413.8
A-T5-3,A,Control,0.08,17.5,1.31,3.5,-39.5,-137.26,0.8,23.9,18.2,117.8
B-T5-3,B,Control,0.13,17.5,2.32,3.5,39.5,138.67,0.4,23.9,9.6,150.6
C-T5-3,C,Control,0.16,17.5,2.8,5.2,39.5,203.59,1.3,23.9,30,236.4
D-T5-3,D,Control,0.23,17.5,4.03,2.9,39.5,114.83,0.2,23.9,4.4,123.2
A-T10-3,A,Control,0.28,17.5,4.88,4.6,39.5,179.91,1.1,23.9,26.5,211.3
B-T10-3,B,Control,0.22,17.5,3.82,11.7,39.5,462.33,0.4,23.9,10.3,476.5
C-T10-3,C,Control,0.18,17.5,3.21,4.6,39.5,180.54,0.2,23.9,3.8,187.5
D-T10-3,D,Control,0.05,17.5,0.92,1.1,39.5,44.89,0.1,23.9,2.7,48.6
A-T15-3,A,Control,0.13,17.5,2.19,6.4,39.5,251,1.6,23.9,38.4,291.6
B-T15-3,B,Control,0.2,17.5,3.5,3,39.5,116.85,0.5,23.9,10.9,131.3
C-T15-3,C,Control,0.11,17.5,1.86,3.1,39.5,124.17,0.1,23.9,3.3,129.4
D-T15-3,D,Control,0.18,17.5,3.08,3.2,39.5,127.48,0.4,23.9,10.4,141
