ID,Species,colony,treatment,tank ,weight_ T0,weight_ T1
A-T1-2,Pve,A,MP + HF,1,6.226,7.333
B-T1-2,Pve,B,MP + HF,1,2.021,2.287
C-T1-2,Pve,C,MP + HF,1,3.137,3.633
D-T1-2,Pve,D,MP + HF,1,2.758,2.88
A-T6-2,Pve,A,MP + HF,6,3.741,4.786
B-T6-2,Pve,B,MP + HF,6,1.991,2.331
C-T6-2,Pve,C,MP + HF,6,5.031,5.898
D-T6-2,Pve,D,MP + HF,6,3.105,3.431
A-T11-2,Pve,A,MP + HF,11,4.403,5.162
B-T11-2,Pve,B,MP + HF,11,2.201,2.37
C-T11-2,Pve,C,MP + HF,11,3.653,4.123
D-T11-2,Pve,D,MP + HF,11,3.143,3.253
A-T1,Spi,A,MP + HF,1,1.895,2.155
B-T1,Spi,B,MP + HF,1,0.922,0.95
C-T1,Spi,C,MP + HF,1,1.303,1.556
D-T1,Spi,D,MP + HF,1,1.958,2.143
A-T6,Spi,A,MP + HF,6,1.267,1.581
B-T6,Spi,B,MP + HF,6,3.534,3.693
C-T6,Spi,C,MP + HF,6,1.878,2.255
D-T6,Spi,D,MP + HF,6,1.413,1.758
A-T11,Spi,A,MP + HF,11,1.381,1.614
B-T11,Spi,B,MP + HF,11,1.221,1.277
C-T11,Spi,C,MP + HF,11,1.468,1.71
D-T11,Spi,D,MP + HF,11,1.901,2.071
A-T4-2,Pve,A,MP,4,4.149,5.255
B-T4-2,Pve,B,MP,4,1.802,2.226
C-T4-2,Pve,C,MP,4,3.788,4.571
D-T4-2,Pve,D,MP,4,2.468,2.562
A-T9-2,Pve,A,MP,9,4.746,5.62
B-T9-2,Pve,B,MP,9,3.292,4.167
C-T9-2,Pve,C,MP,9,3.923,4.68
D-T9-2,Pve,D,MP,9,3.604,3.987
A-T14-2,Pve,A,MP,14,3.614,4.495
B-T14-2,Pve,B,MP,14,3.343,3.679
C-T14-2,Pve,C,MP,14,5.338,5.841
D-T14-2,Pve,D,MP,14,2.657,3.228
A-T4,Spi,A,MP,4,0.675,0.79
B-T4,Spi,B,MP,4,1.409,1.619
C-T4,Spi,C,MP,4,1.403,2.318
D-T4,Spi,D,MP,4,2.031,1.792
A-T9,Spi,A,MP,9,1.986,2.306
B-T9,Spi,B,MP,9,1.218,1.566
C-T9,Spi,C,MP,9,2.317,2.695
D-T9,Spi,D,MP,9,1.638,1.893
A-T14,Spi,A,MP,14,1.235,1.42
B-T14,Spi,B,MP,14,2.209,2.302
C-T14,Spi,C,MP,14,1.334,1.629
D-T14,Spi,D,MP,14,2.017,2.503
A-T5-2,Pve,A,Control,5,4.653,5.699
B-T5-2,Pve,B,Control,5,3.215,3.693
C-T5-2,Pve,C,Control,5,5.582,6.431
D-T5-2,Pve,D,Control,5,2.632,2.847
A-T10-2,Pve,A,Control,10,3.297,4.063
B-T10-2,Pve,B,Control,10,2.318,2.415
C-T10-2,Pve,C,Control,10,5.175,5.765
D-T10-2,Pve,D,Control,10,3.435,3.646
A-T15-2,Pve,A,Control,15,4.898,5.975
B-T15-2,Pve,B,Control,15,1.842,2.237
C-T15-2,Pve,C,Control,15,6.276,7.416
D-T15-2,Pve,D,Control,15,3.876,4.302
A-T5,Spi,A,Control,5,0.933,1.134
B-T5,Spi,B,Control,5,0.909,1.046
C-T5,Spi,C,Control,5,1.732,2.247
D-T5,Spi,D,Control,5,1.781,2.028
A-T10,Spi,A,Control,10,1.514,1.738
B-T10,Spi,B,Control,10,0.988,1.126
C-T10,Spi,C,Control,10,1.237,1.508
D-T10,Spi,D,Control,10,1.088,1.616
A-T15,Spi,A,Control,15,2.241,2.633
B-T15,Spi,B,Control,15,2.055,2.324
C-T15,Spi,C,Control,15,3.909,4.488
D-T15,Spi,D,Control,15,1.401,1.726
